ID	phases	idx	Hdel	Hid	Hstart	Hend	Pdel	Pid	Pstart	Pend
SL2.50ch01_148562_149110	++	2	1	SL2.50ch01	148995	148996	0	Spenn-ch01	201692	201694
SL2.50ch01_148562_149110	++	3	762	SL2.50ch01	149006	149007	0	Spenn-ch01	201704	202467
SL2.50ch01_154626_155949	++	1	1	SL2.50ch01	155456	155457	0	Spenn-ch01	208483	208485
SL2.50ch01_154626_155949	++	2	0	SL2.50ch01	155479	155504	24	Spenn-ch01	208507	208508
SL2.50ch01_154626_155949	++	3	0	SL2.50ch01	155569	155656	86	Spenn-ch01	208573	208574
SL2.50ch01_154626_155949	++	4	0	SL2.50ch01	155725	155727	1	Spenn-ch01	208643	208644
SL2.50ch01_161180_161671	++	1	0	SL2.50ch01	161217	161224	6	Spenn-ch01	214230	214231
SL2.50ch01_161180_161671	++	2	2	SL2.50ch01	161277	161278	0	Spenn-ch01	214284	214287
SL2.50ch01_161180_161671	++	3	0	SL2.50ch01	161318	161320	1	Spenn-ch01	214327	214328
SL2.50ch01_161180_161671	++	4	0	SL2.50ch01	161330	161333	2	Spenn-ch01	214338	214339
SL2.50ch01_161180_161671	++	5	3	SL2.50ch01	161499	161500	0	Spenn-ch01	214505	214509
SL2.50ch01_161180_161671	++	6	0	SL2.50ch01	161517	161519	1	Spenn-ch01	214526	214527
SL2.50ch01_161180_161671	++	7	80	SL2.50ch01	161535	161536	0	Spenn-ch01	214543	214624
SL2.50ch01_175005_175996	++	1	2	SL2.50ch01	175289	175290	0	Spenn-ch01	227906	227909
SL2.50ch01_175005_175996	++	2	1	SL2.50ch01	175515	175516	0	Spenn-ch01	228134	228136
SL2.50ch01_175005_175996	++	3	101	SL2.50ch01	175582	175583	0	Spenn-ch01	228202	228304
SL2.50ch01_175005_175996	++	4	47	SL2.50ch01	175603	175604	0	Spenn-ch01	228324	228372
SL2.50ch01_175005_175996	++	5	1	SL2.50ch01	175622	175623	0	Spenn-ch01	228390	228392
SL2.50ch01_175005_175996	++	6	0	SL2.50ch01	175658	175660	1	Spenn-ch01	228427	228428
SL2.50ch01_175005_175996	++	7	0	SL2.50ch01	175733	175736	2	Spenn-ch01	228501	228502
SL2.50ch01_179796_179969	++	1	0	SL2.50ch01	179826	179839	12	Spenn-ch01	232783	232784
SL2.50ch01_179796_179969	++	2	0	SL2.50ch01	179849	179871	21	Spenn-ch01	232794	232795
SL2.50ch01_179796_179969	++	3	0	SL2.50ch01	179884	179893	8	Spenn-ch01	232808	232809
SL2.50ch01_180122_180302	++	1	0	SL2.50ch01	180166	180179	12	Spenn-ch01	233074	233075
SL2.50ch01_180122_180302	++	2	0	SL2.50ch01	180260	180278	17	Spenn-ch01	233156	233157
SL2.50ch01_193995_194442	++	1	0	SL2.50ch01	194319	194326	6	Spenn-ch01	247551	247552
SL2.50ch01_193995_194442	++	2	0	SL2.50ch01	194330	194368	37	Spenn-ch01	247556	247557
SL2.50ch01_199968_200360	++	1	0	SL2.50ch01	200023	200025	1	Spenn-ch01	253174	253175
SL2.50ch01_199968_200360	++	2	0	SL2.50ch01	200039	200041	1	Spenn-ch01	253189	253190
SL2.50ch01_199968_200360	++	3	1	SL2.50ch01	200261	200262	0	Spenn-ch01	253410	253412
SL2.50ch01_199968_200360	++	4	30	SL2.50ch01	200282	200283	0	Spenn-ch01	253432	253463
SL2.50ch01_199968_200360	++	5	1	SL2.50ch01	200328	200329	0	Spenn-ch01	253508	253510
SL2.50ch01_201719_202547	++	1	0	SL2.50ch01	201779	201781	1	Spenn-ch01	255062	255063
SL2.50ch01_201719_202547	++	2	1	SL2.50ch01	202096	202097	0	Spenn-ch01	255378	255380
SL2.50ch01_201719_202547	++	3	0	SL2.50ch01	202191	202193	1	Spenn-ch01	255474	255475
SL2.50ch01_201719_202547	++	4	6	SL2.50ch01	202366	202367	0	Spenn-ch01	255648	255655
SL2.50ch01_201719_202547	++	5	0	SL2.50ch01	202391	202437	45	Spenn-ch01	255679	255680
SL2.50ch01_201719_202547	++	6	0	SL2.50ch01	202474	202480	5	Spenn-ch01	255717	255718
SL2.50ch01_225273_225917	++	1	0	SL2.50ch01	225376	225379	2	Spenn-ch01	308860	308861
SL2.50ch01_225273_225917	++	2	24	SL2.50ch01	225563	225564	0	Spenn-ch01	309045	309070
SL2.50ch01_225273_225917	++	3	1	SL2.50ch01	225591	225592	0	Spenn-ch01	309097	309099
SL2.50ch01_225273_225917	++	4	29	SL2.50ch01	225686	225687	0	Spenn-ch01	309193	309223
SL2.50ch01_225273_225917	++	5	0	SL2.50ch01	225722	225724	1	Spenn-ch01	309258	309259
SL2.50ch01_225273_225917	++	6	4	SL2.50ch01	225755	225756	0	Spenn-ch01	309290	309295
SL2.50ch01_242261_243199	++	1	2	SL2.50ch01	242449	242450	0	Spenn-ch01	325756	325759
SL2.50ch01_242261_243199	++	2	1	SL2.50ch01	242518	242519	0	Spenn-ch01	325827	325829
SL2.50ch01_242261_243199	++	3	0	SL2.50ch01	242536	242538	1	Spenn-ch01	325846	325847
SL2.50ch01_242261_243199	++	4	0	SL2.50ch01	242656	242659	2	Spenn-ch01	325965	325966
SL2.50ch01_242261_243199	++	5	1	SL2.50ch01	242710	242711	0	Spenn-ch01	326017	326019
SL2.50ch01_242261_243199	++	6	0	SL2.50ch01	242725	242729	3	Spenn-ch01	326033	326034
SL2.50ch01_242261_243199	++	7	1	SL2.50ch01	242750	242751	0	Spenn-ch01	326055	326057
SL2.50ch01_242261_243199	++	8	716	SL2.50ch01	242891	242892	0	Spenn-ch01	326197	326914
SL2.50ch01_242261_243199	++	9	0	SL2.50ch01	242983	242985	1	Spenn-ch01	327005	327006
SL2.50ch01_242261_243199	++	10	0	SL2.50ch01	243082	243084	1	Spenn-ch01	327103	327104
SL2.50ch01_242261_243199	++	11	1	SL2.50ch01	243137	243138	0	Spenn-ch01	327157	327159
SL2.50ch01_260327_261204	++	1	0	SL2.50ch01	260493	260495	1	Spenn-ch01	354341	354342
SL2.50ch01_260327_261204	++	2	50	SL2.50ch01	260534	260535	0	Spenn-ch01	354381	354432
SL2.50ch01_260327_261204	++	3	6	SL2.50ch01	260547	260548	0	Spenn-ch01	354444	354451
SL2.50ch01_260327_261204	++	4	0	SL2.50ch01	260635	260637	1	Spenn-ch01	354538	354539
SL2.50ch01_260327_261204	++	5	1	SL2.50ch01	260806	260807	0	Spenn-ch01	354708	354710
SL2.50ch01_260327_261204	++	6	3	SL2.50ch01	260819	260820	0	Spenn-ch01	354722	354726
SL2.50ch01_260327_261204	++	7	20	SL2.50ch01	260823	260824	0	Spenn-ch01	354729	354750
SL2.50ch01_260327_261204	++	8	59	SL2.50ch01	260840	260841	0	Spenn-ch01	354766	354826
SL2.50ch01_260327_261204	++	9	0	SL2.50ch01	260894	260897	2	Spenn-ch01	354879	354880
SL2.50ch01_260327_261204	++	10	0	SL2.50ch01	261044	261047	2	Spenn-ch01	355027	355028
SL2.50ch01_260327_261204	++	11	9	SL2.50ch01	261178	261179	0	Spenn-ch01	355159	355169
SL2.50ch01_261213_262371	++	1	0	SL2.50ch01	261626	261776	149	Spenn-ch01	355616	355617
SL2.50ch01_261213_262371	++	2	0	SL2.50ch01	261801	261809	7	Spenn-ch01	355642	355643
SL2.50ch01_261213_262371	++	3	0	SL2.50ch01	262043	262045	1	Spenn-ch01	355877	355878
SL2.50ch01_261213_262371	++	4	3	SL2.50ch01	262112	262113	0	Spenn-ch01	355945	355949
SL2.50ch01_261213_262371	++	5	0	SL2.50ch01	262298	262300	1	Spenn-ch01	356134	356135
SL2.50ch01_300216_300823	++	1	1	SL2.50ch01	300308	300309	0	Spenn-ch01	406403	406405
SL2.50ch01_300216_300823	++	2	24	SL2.50ch01	300332	300333	0	Spenn-ch01	406428	406453
SL2.50ch01_300216_300823	++	3	42	SL2.50ch01	300454	300455	0	Spenn-ch01	406574	406617
SL2.50ch01_300216_300823	++	4	12	SL2.50ch01	300555	300556	0	Spenn-ch01	406717	406730
SL2.50ch01_300216_300823	++	5	33	SL2.50ch01	300579	300580	0	Spenn-ch01	406753	406787
SL2.50ch01_301453_302293	++	1	0	SL2.50ch01	301782	301820	37	Spenn-ch01	407899	407900
SL2.50ch01_301453_302293	++	2	0	SL2.50ch01	302173	302181	7	Spenn-ch01	408253	408254
SL2.50ch01_307100_308392	++	1	0	SL2.50ch01	307228	307231	2	Spenn-ch01	412947	412948
SL2.50ch01_307100_308392	++	2	3	SL2.50ch01	307254	307255	0	Spenn-ch01	412971	412975
SL2.50ch01_307100_308392	++	3	0	SL2.50ch01	307318	307320	1	Spenn-ch01	413038	413039
SL2.50ch01_307100_308392	++	4	1	SL2.50ch01	307414	307415	0	Spenn-ch01	413133	413135
SL2.50ch01_307100_308392	++	5	223	SL2.50ch01	307442	307443	0	Spenn-ch01	413162	413386
SL2.50ch01_307100_308392	++	6	1	SL2.50ch01	307509	307510	0	Spenn-ch01	413452	413454
SL2.50ch01_307100_308392	++	7	0	SL2.50ch01	307545	307549	3	Spenn-ch01	413489	413490
SL2.50ch01_307100_308392	++	8	1	SL2.50ch01	307767	307768	0	Spenn-ch01	413708	413710
SL2.50ch01_307100_308392	++	9	1	SL2.50ch01	307776	307777	0	Spenn-ch01	413718	413720
SL2.50ch01_307100_308392	++	10	1	SL2.50ch01	307785	307786	0	Spenn-ch01	413728	413730
SL2.50ch01_307100_308392	++	11	0	SL2.50ch01	307822	307824	1	Spenn-ch01	413766	413767
SL2.50ch01_307100_308392	++	12	0	SL2.50ch01	308114	308132	17	Spenn-ch01	414057	414058
SL2.50ch01_307100_308392	++	13	1	SL2.50ch01	308145	308146	0	Spenn-ch01	414071	414073
SL2.50ch01_307100_308392	++	14	1	SL2.50ch01	308308	308309	0	Spenn-ch01	414235	414237
SL2.50ch01_316616_317079	++	1	0	SL2.50ch01	316683	316686	2	Spenn-ch01	424909	424910
SL2.50ch01_316616_317079	++	2	1	SL2.50ch01	316884	316885	0	Spenn-ch01	425108	425110
SL2.50ch01_316616_317079	++	3	28	SL2.50ch01	316977	316978	0	Spenn-ch01	425202	425231
SL2.50ch01_318163_318715	++	1	0	SL2.50ch01	318254	318258	3	Spenn-ch01	426535	426536
SL2.50ch01_318163_318715	++	2	1	SL2.50ch01	318263	318264	0	Spenn-ch01	426541	426543
SL2.50ch01_318163_318715	++	3	7	SL2.50ch01	318377	318378	0	Spenn-ch01	426656	426664
SL2.50ch01_318163_318715	++	4	1	SL2.50ch01	318502	318503	0	Spenn-ch01	426788	426790
SL2.50ch01_318163_318715	++	5	1	SL2.50ch01	318601	318602	0	Spenn-ch01	426888	426890
SL2.50ch01_318163_318715	++	6	25	SL2.50ch01	318648	318649	0	Spenn-ch01	426936	426962
SL2.50ch01_322811_323781	++	1	1	SL2.50ch01	322942	322943	0	Spenn-ch01	430997	430999
SL2.50ch01_322811_323781	++	2	0	SL2.50ch01	322972	322974	1	Spenn-ch01	431028	431029
SL2.50ch01_322811_323781	++	3	0	SL2.50ch01	323155	323157	1	Spenn-ch01	431210	431211
SL2.50ch01_322811_323781	++	4	0	SL2.50ch01	323211	323213	1	Spenn-ch01	431265	431266
SL2.50ch01_322811_323781	++	5	7	SL2.50ch01	323263	323264	0	Spenn-ch01	431316	431324
SL2.50ch01_322811_323781	++	6	34	SL2.50ch01	323430	323431	0	Spenn-ch01	431490	431525
SL2.50ch01_322811_323781	++	7	2	SL2.50ch01	323468	323469	0	Spenn-ch01	431562	431565
SL2.50ch01_322811_323781	++	8	0	SL2.50ch01	323531	323534	2	Spenn-ch01	431627	431628
SL2.50ch01_322811_323781	++	9	1	SL2.50ch01	323580	323581	0	Spenn-ch01	431674	431676
SL2.50ch01_322811_323781	++	10	335	SL2.50ch01	323670	323671	0	Spenn-ch01	431765	432101
SL2.50ch01_350720_351200	++	1	12	SL2.50ch01	350773	350774	0	Spenn-ch01	462505	462518
SL2.50ch01_350720_351200	++	2	56	SL2.50ch01	350830	350831	0	Spenn-ch01	462574	462631
SL2.50ch01_350720_351200	++	3	2	SL2.50ch01	350902	350903	0	Spenn-ch01	462702	462705
SL2.50ch01_350720_351200	++	4	1	SL2.50ch01	351037	351038	0	Spenn-ch01	462839	462841
SL2.50ch01_360932_361656	++	1	0	SL2.50ch01	361090	361092	1	Spenn-ch01	472722	472723
SL2.50ch01_360932_361656	++	2	0	SL2.50ch01	361179	361185	5	Spenn-ch01	472810	472811
SL2.50ch01_360932_361656	++	3	0	SL2.50ch01	361347	361472	124	Spenn-ch01	472973	472974
SL2.50ch01_360932_361656	++	4	1	SL2.50ch01	361531	361532	0	Spenn-ch01	473033	473035
SL2.50ch01_360932_361656	++	5	0	SL2.50ch01	361561	361563	1	Spenn-ch01	473064	473065
SL2.50ch01_360932_361656	++	6	2	SL2.50ch01	361586	361587	0	Spenn-ch01	473088	473091
SL2.50ch01_360932_361656	++	7	0	SL2.50ch01	361600	361602	1	Spenn-ch01	473104	473105
SL2.50ch01_363026_363190	++	1	0	SL2.50ch01	363116	363146	29	Spenn-ch01	474612	474613
SL2.50ch01_365187_366292	++	1	0	SL2.50ch01	365335	365480	144	Spenn-ch01	476783	476784
SL2.50ch01_365187_366292	++	2	1	SL2.50ch01	365628	365629	0	Spenn-ch01	476932	476934
SL2.50ch01_365187_366292	++	3	0	SL2.50ch01	365718	365723	4	Spenn-ch01	477023	477024
SL2.50ch01_391122_392047	++	1	0	SL2.50ch01	391264	391404	139	Spenn-ch01	534602	534603
SL2.50ch01_391122_392047	++	2	0	SL2.50ch01	391407	391435	27	Spenn-ch01	534606	534607
SL2.50ch01_391122_392047	++	3	0	SL2.50ch01	391526	391528	1	Spenn-ch01	534698	534699
SL2.50ch01_399303_399825	++	1	84	SL2.50ch01	399379	399380	0	Spenn-ch01	543792	543877
SL2.50ch01_399303_399825	++	2	12	SL2.50ch01	399536	399537	0	Spenn-ch01	544033	544046
SL2.50ch01_399303_399825	++	3	18	SL2.50ch01	399581	399582	0	Spenn-ch01	544090	544109
SL2.50ch01_399303_399825	++	4	2	SL2.50ch01	399602	399603	0	Spenn-ch01	544129	544132
SL2.50ch01_399303_399825	++	5	1	SL2.50ch01	399700	399701	0	Spenn-ch01	544229	544231
SL2.50ch01_405137_406367	++	1	6	SL2.50ch01	405224	405225	0	Spenn-ch01	549207	549214
SL2.50ch01_405137_406367	++	2	1	SL2.50ch01	405311	405312	0	Spenn-ch01	549300	549302
SL2.50ch01_405137_406367	++	3	1	SL2.50ch01	405419	405420	0	Spenn-ch01	549409	549411
SL2.50ch01_405137_406367	++	4	5	SL2.50ch01	405427	405428	0	Spenn-ch01	549418	549424
SL2.50ch01_405137_406367	++	5	2	SL2.50ch01	405503	405504	0	Spenn-ch01	549499	549502
SL2.50ch01_405137_406367	++	6	13	SL2.50ch01	405532	405533	0	Spenn-ch01	549530	549544
SL2.50ch01_405137_406367	++	7	1	SL2.50ch01	405620	405621	0	Spenn-ch01	549631	549633
SL2.50ch01_405137_406367	++	8	2	SL2.50ch01	405650	405651	0	Spenn-ch01	549662	549665
SL2.50ch01_405137_406367	++	9	1	SL2.50ch01	405676	405677	0	Spenn-ch01	549690	549692
SL2.50ch01_405137_406367	++	10	406	SL2.50ch01	405795	405796	0	Spenn-ch01	549810	550217
SL2.50ch01_405137_406367	++	11	30	SL2.50ch01	405806	405807	0	Spenn-ch01	550227	550258
SL2.50ch01_405137_406367	++	12	35	SL2.50ch01	405815	405816	0	Spenn-ch01	550266	550302
SL2.50ch01_405137_406367	++	13	12	SL2.50ch01	405919	405920	0	Spenn-ch01	550405	550418
SL2.50ch01_405137_406367	++	14	0	SL2.50ch01	406122	406135	12	Spenn-ch01	550620	550621
SL2.50ch01_405137_406367	++	15	0	SL2.50ch01	406142	406146	3	Spenn-ch01	550628	550629
SL2.50ch01_405137_406367	++	16	15	SL2.50ch01	406231	406232	0	Spenn-ch01	550714	550730
SL2.50ch01_405137_406367	++	17	0	SL2.50ch01	406246	406248	1	Spenn-ch01	550744	550745
SL2.50ch01_407274_407961	++	1	0	SL2.50ch01	407368	407375	6	Spenn-ch01	551924	551925
SL2.50ch01_407274_407961	++	2	61	SL2.50ch01	407401	407402	0	Spenn-ch01	551951	552013
SL2.50ch01_407274_407961	++	3	0	SL2.50ch01	407547	407549	1	Spenn-ch01	552158	552159
SL2.50ch01_421115_421624	++	1	1	SL2.50ch01	421208	421209	0	Spenn-ch01	565156	565158
SL2.50ch01_421115_421624	++	2	0	SL2.50ch01	421307	421309	1	Spenn-ch01	565256	565257
SL2.50ch01_421115_421624	++	3	18	SL2.50ch01	421439	421440	0	Spenn-ch01	565387	565406
SL2.50ch01_421115_421624	++	4	0	SL2.50ch01	421492	421494	1	Spenn-ch01	565458	565459
SL2.50ch01_421115_421624	++	5	49	SL2.50ch01	421587	421588	0	Spenn-ch01	565552	565602
SL2.50ch01_425201_426002	++	1	0	SL2.50ch01	425525	425527	1	Spenn-ch01	569485	569486
SL2.50ch01_425201_426002	++	2	0	SL2.50ch01	425566	425568	1	Spenn-ch01	569525	569526
SL2.50ch01_425201_426002	++	3	1	SL2.50ch01	425702	425703	0	Spenn-ch01	569660	569662
SL2.50ch01_425201_426002	++	4	1	SL2.50ch01	425715	425716	0	Spenn-ch01	569674	569676
SL2.50ch01_425201_426002	++	5	39	SL2.50ch01	425757	425758	0	Spenn-ch01	569717	569757
SL2.50ch01_425201_426002	++	6	5	SL2.50ch01	425763	425764	0	Spenn-ch01	569762	569768
SL2.50ch01_425201_426002	++	7	1	SL2.50ch01	425792	425793	0	Spenn-ch01	569796	569798
SL2.50ch01_425201_426002	++	8	2	SL2.50ch01	425869	425870	0	Spenn-ch01	569874	569877
SL2.50ch01_427781_428691	++	1	1	SL2.50ch01	428032	428033	0	Spenn-ch01	572008	572010
SL2.50ch01_427781_428691	++	2	0	SL2.50ch01	428169	428172	2	Spenn-ch01	572146	572147
SL2.50ch01_427781_428691	++	3	9	SL2.50ch01	428342	428343	0	Spenn-ch01	572317	572327
SL2.50ch01_427781_428691	++	4	4	SL2.50ch01	428349	428350	0	Spenn-ch01	572333	572338
SL2.50ch01_427781_428691	++	5	36	SL2.50ch01	428360	428361	0	Spenn-ch01	572348	572385
SL2.50ch01_427781_428691	++	6	1	SL2.50ch01	428527	428528	0	Spenn-ch01	572551	572553
SL2.50ch01_433678_434840	++	1	15	SL2.50ch01	433791	433792	0	Spenn-ch01	577806	577822
SL2.50ch01_433678_434840	++	2	86	SL2.50ch01	433804	433805	0	Spenn-ch01	577834	577921
SL2.50ch01_433678_434840	++	3	4	SL2.50ch01	433817	433818	0	Spenn-ch01	577933	577938
SL2.50ch01_433678_434840	++	4	0	SL2.50ch01	433831	433833	1	Spenn-ch01	577951	577952
SL2.50ch01_433678_434840	++	5	4	SL2.50ch01	433836	433837	0	Spenn-ch01	577955	577960
SL2.50ch01_433678_434840	++	6	1	SL2.50ch01	433850	433851	0	Spenn-ch01	577973	577975
SL2.50ch01_433678_434840	++	7	49	SL2.50ch01	433867	433868	0	Spenn-ch01	577991	578041
SL2.50ch01_433678_434840	++	8	42	SL2.50ch01	433879	433880	0	Spenn-ch01	578052	578095
SL2.50ch01_433678_434840	++	9	0	SL2.50ch01	434061	434065	3	Spenn-ch01	578276	578277
SL2.50ch01_433678_434840	++	10	0	SL2.50ch01	434075	434077	1	Spenn-ch01	578287	578288
SL2.50ch01_433678_434840	++	11	4	SL2.50ch01	434144	434145	0	Spenn-ch01	578355	578360
SL2.50ch01_433678_434840	++	12	0	SL2.50ch01	434445	434447	1	Spenn-ch01	578660	578661
SL2.50ch01_433678_434840	++	13	0	SL2.50ch01	434458	434475	16	Spenn-ch01	578672	578673
SL2.50ch01_445071_445227	++	1	21	SL2.50ch01	445201	445202	0	Spenn-ch01	589578	589600
SL2.50ch01_454498_455719	++	1	23	SL2.50ch01	454563	454564	0	Spenn-ch01	598542	598566
SL2.50ch01_454498_455719	++	2	18	SL2.50ch01	454619	454620	0	Spenn-ch01	598621	598640
SL2.50ch01_454498_455719	++	3	1	SL2.50ch01	454670	454671	0	Spenn-ch01	598690	598692
SL2.50ch01_454498_455719	++	4	170	SL2.50ch01	454716	454717	0	Spenn-ch01	598737	598908
SL2.50ch01_454498_455719	++	5	41	SL2.50ch01	454726	454727	0	Spenn-ch01	598917	598959
SL2.50ch01_454498_455719	++	6	19	SL2.50ch01	454743	454744	0	Spenn-ch01	598975	598995
SL2.50ch01_454498_455719	++	7	11	SL2.50ch01	454756	454757	0	Spenn-ch01	599007	599019
SL2.50ch01_454498_455719	++	8	25	SL2.50ch01	454761	454762	0	Spenn-ch01	599023	599049
SL2.50ch01_454498_455719	++	9	25	SL2.50ch01	454772	454773	0	Spenn-ch01	599059	599085
SL2.50ch01_454498_455719	++	10	4	SL2.50ch01	454779	454780	0	Spenn-ch01	599091	599096
SL2.50ch01_454498_455719	++	11	12	SL2.50ch01	454800	454801	0	Spenn-ch01	599116	599129
SL2.50ch01_454498_455719	++	12	63	SL2.50ch01	454806	454807	0	Spenn-ch01	599134	599198
SL2.50ch01_454498_455719	++	13	23	SL2.50ch01	454819	454820	0	Spenn-ch01	599210	599234
SL2.50ch01_454498_455719	++	14	25	SL2.50ch01	454827	454828	0	Spenn-ch01	599241	599267
SL2.50ch01_454498_455719	++	15	33	SL2.50ch01	454838	454839	0	Spenn-ch01	599277	599311
SL2.50ch01_454498_455719	++	16	54	SL2.50ch01	454854	454855	0	Spenn-ch01	599326	599381
SL2.50ch01_454498_455719	++	17	13	SL2.50ch01	454867	454868	0	Spenn-ch01	599393	599407
SL2.50ch01_454498_455719	++	18	5	SL2.50ch01	454880	454881	0	Spenn-ch01	599419	599425
SL2.50ch01_454498_455719	++	19	13	SL2.50ch01	454892	454893	0	Spenn-ch01	599436	599450
SL2.50ch01_454498_455719	++	20	1	SL2.50ch01	454905	454906	0	Spenn-ch01	599462	599464
SL2.50ch01_454498_455719	++	21	7	SL2.50ch01	454914	454915	0	Spenn-ch01	599472	599480
SL2.50ch01_454498_455719	++	22	23	SL2.50ch01	454924	454925	0	Spenn-ch01	599489	599513
SL2.50ch01_454498_455719	++	23	20	SL2.50ch01	454949	454950	0	Spenn-ch01	599537	599558
SL2.50ch01_454498_455719	++	24	6	SL2.50ch01	454957	454958	0	Spenn-ch01	599565	599572
SL2.50ch01_454498_455719	++	25	21	SL2.50ch01	454976	454977	0	Spenn-ch01	599590	599612
SL2.50ch01_454498_455719	++	26	5	SL2.50ch01	454981	454982	0	Spenn-ch01	599616	599622
SL2.50ch01_454498_455719	++	27	10	SL2.50ch01	454995	454996	0	Spenn-ch01	599635	599646
SL2.50ch01_454498_455719	++	28	3	SL2.50ch01	455024	455025	0	Spenn-ch01	599674	599678
SL2.50ch01_454498_455719	++	29	0	SL2.50ch01	455113	455115	1	Spenn-ch01	599766	599767
SL2.50ch01_454498_455719	++	30	0	SL2.50ch01	455269	455274	4	Spenn-ch01	599921	599922
SL2.50ch01_454498_455719	++	31	0	SL2.50ch01	455285	455287	1	Spenn-ch01	599933	599934
SL2.50ch01_454498_455719	++	32	0	SL2.50ch01	455318	455320	1	Spenn-ch01	599965	599966
SL2.50ch01_454498_455719	++	33	6	SL2.50ch01	455332	455333	0	Spenn-ch01	599978	599985
SL2.50ch01_454498_455719	++	34	0	SL2.50ch01	455358	455360	1	Spenn-ch01	600010	600011
SL2.50ch01_463756_464928	++	1	0	SL2.50ch01	463972	463974	1	Spenn-ch01	608572	608573
SL2.50ch01_463756_464928	++	2	34	SL2.50ch01	463992	463993	0	Spenn-ch01	608591	608626
SL2.50ch01_463756_464928	++	3	0	SL2.50ch01	464063	464065	1	Spenn-ch01	608696	608697
SL2.50ch01_463756_464928	++	4	2	SL2.50ch01	464101	464102	0	Spenn-ch01	608733	608736
SL2.50ch01_463756_464928	++	5	0	SL2.50ch01	464138	464140	1	Spenn-ch01	608772	608773
SL2.50ch01_463756_464928	++	6	1	SL2.50ch01	464250	464251	0	Spenn-ch01	608883	608885
SL2.50ch01_463756_464928	++	7	0	SL2.50ch01	464277	464279	1	Spenn-ch01	608911	608912
SL2.50ch01_463756_464928	++	8	0	SL2.50ch01	464359	464494	134	Spenn-ch01	608992	608993
SL2.50ch01_463756_464928	++	9	0	SL2.50ch01	464497	464510	12	Spenn-ch01	608996	608997
SL2.50ch01_463756_464928	++	10	3	SL2.50ch01	464543	464544	0	Spenn-ch01	609030	609034
SL2.50ch01_463756_464928	++	11	1	SL2.50ch01	464654	464655	0	Spenn-ch01	609144	609146
SL2.50ch01_463756_464928	++	12	1	SL2.50ch01	464702	464703	0	Spenn-ch01	609193	609195
SL2.50ch01_463756_464928	++	13	0	SL2.50ch01	464786	464788	1	Spenn-ch01	609278	609279
